PM2.5,PM10,NOx,NH3,CO,SO2,O3
103.36,95.68,57.33,15.85,18.18,80.43,40.11
177.33,95.68,77.85,15.85,37.49,99.72,36.47
113.25,95.68,44.87,15.85,15.55,69.71,33.78
99.7,95.68,47.31,15.85,19.85,73.23,30.57
80.61,95.68,35.67,15.85,15.96,54.7,36.2
100.79,95.68,41.91,15.85,16.24,43.11,37.43
107.99,95.68,40.47,15.85,11.25,84.86,31.94
140.29,95.68,68.85,15.85,33.84,101.53,40.98
239.96,95.68,106.92,15.85,61.95,84.87,33.55
142.96,95.68,92.32,15.85,45.45,62.96,34.77
238.41,95.68,131.32,15.85,77.7,89.07,37.3
118.72,95.68,42.56,15.85,12.56,61.54,38.8
52.99,95.68,10.39,15.85,2.23,32.76,67.25
48.57,95.68,23.52,15.85,0.89,9.16,30.84
48.57,95.68,23.52,15.85,0.89,9.16,30.84
48.57,95.68,23.52,15.85,0.89,9.16,30.84
61.12,95.68,20.92,15.85,3.58,28.44,30.48
60.78,95.68,27.34,15.85,9.07,29.48,34.75
91.83,95.68,40.76,15.85,12.99,39.71,38.46
93.88,95.68,47.01,15.85,18.21,62.75,46.79
173.01,95.68,90.73,15.85,48.44,78.76,59.39
48.57,95.68,23.52,15.85,0.89,9.16,30.84
105.45,95.68,18.66,15.85,2.5,29.29,69.9
71.56,95.68,20.32,15.85,3.51,30.28,57.16
119.8,95.68,27.9,15.85,4.13,50.35,50.49
106.71,95.68,30.51,15.85,5.39,38.85,60.17
118.49,95.68,31.83,15.85,4.11,54.2,53.61
106.01,95.68,30.54,15.85,4.28,70.29,40.91
97.34,95.68,24.62,15.85,3.67,64.39,45.69
83.92,95.68,30.8,15.85,6.42,67.53,34.94
49.51,95.68,16.15,15.85,3.1,48.33,37.95
30.76,95.68,16.98,15.85,2.72,43.62,54.78
50.29,95.68,33.28,15.85,5.34,59.23,45.44
57.69,95.68,54.79,15.85,25.36,58.33,52.87
105.06,95.68,82.23,15.85,46.24,53.62,45.65
94.1,95.68,57.49,15.85,22.14,61.31,46.77
111.89,95.68,64.53,15.85,22.25,66.44,50.57
108.59,95.68,63.01,15.85,25.38,75.8,46.68
130.76,95.68,85.76,15.85,45.61,65.77,41.58
143.55,95.68,57.16,15.85,27.3,50.98,35.38
165.07,95.68,57.71,15.85,23.83,64.32,43.79
166.85,95.68,60.07,15.85,17.93,79.71,53.44
147.38,95.68,40.22,15.85,6.4,46.89,17.94
158.25,95.68,32.65,15.85,5.86,142.36,38.54
237.76,95.68,25.37,15.85,4.99,96.28,39.77
133.37,95.68,21.02,15.85,3.88,57.34,39.66
133.3,95.68,26.18,15.85,6.52,51.58,59.03
96.04,95.68,23.46,15.85,3.8,62.42,46.61
77.69,95.68,23.06,15.85,5.24,100.48,27.14
53.07,95.68,17.45,15.85,4.17,40.36,21.76
63.11,95.68,18.49,15.85,5.63,38.21,4.72
156.76,95.68,20.97,15.85,3.92,26.32,37.11
120.96,95.68,25.02,15.85,4.23,35.54,35.66
138.63,95.68,30.67,15.85,5.65,87.43,29.77
144.36,95.68,46.1,15.85,15.82,66.39,27.34
85.03,95.68,27.41,15.85,3.3,59.16,35.89
134.6,95.68,28.7,15.85,5.9,34.53,7
61.06,95.68,17.59,15.85,3.52,8.08,19.54
39.42,95.68,24.66,15.85,5.28,17.66,31.3
111.86,95.68,25.17,15.85,3.89,15.84,31.23
58.37,95.68,27.69,15.85,5.74,25.9,43.92
95.37,95.68,44.34,15.85,18.01,13.59,41.64
141.3,95.68,66.53,15.85,30.8,41.06,37.66
106.68,95.68,54.77,15.85,19.91,31.56,48.49
109.48,95.68,22.86,15.85,4.3,46.6,31.34
126.04,95.68,26.78,15.85,6.99,79.56,28.71
71.22,95.68,37.58,15.85,16.73,50.09,28.39
97.87,95.68,23.45,15.85,6.3,13.85,34.16
63.38,95.68,15.44,15.85,3.44,24.79,43.62
75.29,95.68,17.97,15.85,3.35,76.05,60.71
80.9,95.68,24.23,15.85,5.7,65.44,22.8
103.29,95.68,23.69,15.85,4.55,85.42,22.18
107.5,95.68,19.73,15.85,5.29,74.37,10.12
161.14,95.68,16.12,15.85,3.11,118.35,59.73
102.58,95.68,16.82,15.85,3.88,41.94,26.89
138.42,95.68,21.56,15.85,5.05,77.74,27.18
129.04,95.68,19.66,15.85,5.69,78.27,18.67
96.65,95.68,20.53,15.85,4.67,39.41,11.83
126.77,95.68,39.73,15.85,15.69,93.18,36.71
106.15,95.68,35.05,15.85,13.12,65.95,81.6
86.31,95.68,10.9,15.85,2.69,50.13,90.54
83.99,95.68,2.75,15.85,2.73,34.06,69.57
65.11,95.68,6.75,15.85,3.14,22.27,32.26
51.03,95.68,26.2,15.85,6.24,15.5,31.44
38.73,95.68,26.61,15.85,8,20.13,25.7
61.12,95.68,27.18,15.85,9.94,39.69,25.9
58.44,95.68,27.38,15.85,10.68,54.69,18.89
61.49,95.68,27.61,15.85,11.44,42.66,18.2
65.39,95.68,27.86,15.85,12.3,27.96,22.35
100.92,95.68,37.83,15.85,20.42,31.9,22.84
97.48,95.68,33.62,15.85,5.31,36.05,16.26
129.27,95.68,41.92,15.85,14.28,70.13,25.4
