City,PM2.5,PM10,NOx,NH3,CO,SO2,O3
0,141.3,95.68,66.53,15.85,30.8,41.06,37.66
0,106.68,95.68,54.77,15.85,19.91,31.56,48.49
0,109.48,95.68,22.86,15.85,4.3,46.6,31.34
0,126.04,95.68,26.78,15.85,6.99,79.56,28.71
0,71.22,95.68,37.58,15.85,16.73,50.09,28.39
0,97.87,95.68,23.45,15.85,6.3,13.85,34.16
0,63.38,95.68,15.44,15.85,3.44,24.79,43.62
0,75.29,95.68,17.97,15.85,3.35,76.05,60.71
0,80.9,95.68,24.23,15.85,5.7,65.44,22.8
0,103.29,95.68,23.69,15.85,4.55,85.42,22.18
0,107.5,95.68,19.73,15.85,5.29,74.37,10.12
0,161.14,95.68,16.12,15.85,3.11,118.35,59.73
0,102.58,95.68,16.82,15.85,3.88,41.94,26.89
0,138.42,95.68,21.56,15.85,5.05,77.74,27.18
0,129.04,95.68,19.66,15.85,5.69,78.27,18.67
0,96.65,95.68,20.53,15.85,4.67,39.41,11.83
0,126.77,95.68,39.73,15.85,15.69,93.18,36.71
0,106.15,95.68,35.05,15.85,13.12,65.95,81.6
0,86.31,95.68,10.9,15.85,2.69,50.13,90.54
0,83.99,95.68,2.75,15.85,2.73,34.06,69.57
0,65.11,95.68,6.75,15.85,3.14,22.27,32.26
0,51.03,95.68,26.2,15.85,6.24,15.5,31.44
0,38.73,95.68,26.61,15.85,8,20.13,25.7
0,61.12,95.68,27.18,15.85,9.94,39.69,25.9
0,58.44,95.68,27.38,15.85,10.68,54.69,18.89
0,61.49,95.68,27.61,15.85,11.44,42.66,18.2
0,65.39,95.68,27.86,15.85,12.3,27.96,22.35
0,100.92,95.68,37.83,15.85,20.42,31.9,22.84
0,97.48,95.68,33.62,15.85,5.31,36.05,16.26
0,129.27,95.68,41.92,15.85,14.28,70.13,25.4
0,129.58,95.68,45.4,15.85,21.23,17.66,34.42
0,100.57,95.68,24.33,15.85,7.56,38.76,38.83
0,130.34,95.68,23.72,15.85,7.14,52.07,29.05
0,53.24,95.68,23.34,15.85,8.05,36.23,21.58
0,42,95.68,21.8,15.85,10.44,17,25.5
0,50.1,95.68,22.5,15.85,9.46,30.67,12.91
0,83.69,95.68,27.15,15.85,10.89,41.12,35.61
0,38.88,95.68,17.74,15.85,2.18,26.4,12.47
0,46.89,95.68,18.49,15.85,2.96,41.96,10.74
0,70.96,95.68,19.28,15.85,4.12,23.67,16.01
0,53.66,95.68,18.06,15.85,4.23,14.46,45.64
0,45.49,95.68,17.1,15.85,4.26,12.85,71.85
0,60.86,95.68,21.42,15.85,5.27,14.91,41.19
0,51.93,95.68,31.64,15.85,13.71,15.33,12.88
0,77.87,95.68,23,15.85,6.67,46.82,16.67
0,57.59,95.68,20.42,15.85,5.6,41.68,25.51
0,77.22,95.68,21.13,15.85,7.02,71.97,9.56
0,45.29,95.68,19.66,15.85,7.25,18.64,6.32
0,103.78,95.68,19.86,15.85,6.36,7.76,15.27
0,25.14,95.68,24.74,15.85,6.01,38.05,38.52
0,87.03,95.68,25.53,15.85,8.05,23.84,48.22
0,89.6,95.68,25.9,15.85,6.59,48.05,44.78
0,80.69,95.68,22.25,15.85,6.86,39.85,32.65
0,44.75,95.68,24.29,15.85,7.76,9.89,8.07
0,38.11,95.68,19.03,15.85,7.41,3.13,6.69
0,45.5,95.68,24.15,15.85,8.56,0.76,3.82
0,36.98,95.68,19.74,15.85,8.21,0.52,5.17
0,43.58,95.68,21.58,15.85,8.26,1.02,7.56
0,45.49,95.68,24.53,15.85,9.63,0.81,2.94
0,38.06,95.68,27.25,15.85,8.67,1.05,4.63
0,45.41,95.68,29.9,15.85,9.35,0.74,4.5
0,37.71,95.68,24.8,15.85,8.54,0.87,4.6
0,32.37,95.68,21.89,15.85,7.53,2.17,12.17
0,34.74,95.68,21.11,15.85,7.59,4.11,12.22
0,32.56,95.68,21.25,15.85,7.34,4.04,11.85
0,29.28,95.68,19.23,15.85,7.55,4.01,12.64
0,20.46,95.68,17.76,15.85,7.15,5.62,12.7
0,26.07,95.68,19.06,15.85,7.99,4.1,10.57
0,21.43,95.68,18.62,15.85,7.45,4.99,7.38
0,11.91,95.68,17.44,15.85,7.34,10.86,5.47
0,57.75,95.68,18.36,15.85,8.68,12.28,3.06
0,66.39,95.68,21.36,15.85,8.58,11.09,4.96
0,62.61,95.68,18.98,15.85,9.15,12.31,6.44
0,47.5,95.68,17.59,15.85,8.07,13.91,7.28
0,111.8,95.68,20.74,15.85,9.23,5.27,5.99
0,30,95.68,22.64,15.85,8.87,8.09,6.31
0,4.66,95.68,20.36,15.85,9.01,7.31,6.38
0,48.72,95.68,21.5,15.85,9.56,5.72,6.61
0,49.7,95.68,19.23,15.85,9.43,6.78,6.42
0,48.1,95.68,17.57,15.85,8.03,9.33,7.6
0,47.43,95.68,17.56,15.85,8.11,7.93,7.08
0,51.74,95.68,21.28,15.85,8.91,10.05,5.78
0,42.68,95.68,20.82,15.85,9.74,10.87,4.44
0,38.45,95.68,18.35,15.85,10.55,10.28,3.24
0,46.69,95.68,11.64,15.85,11.48,10.25,5.76
0,55.27,95.68,11.66,15.85,11.55,12.7,6.55
0,149.03,95.68,11.65,15.85,11.49,10.07,7.27
0,86.57,95.68,11.64,15.85,11.47,11.09,6.53
0,111.77,95.68,11.53,15.85,11.3,7.73,4.67
0,151.4,95.68,11.16,15.85,10.8,7.8,5.46
0,51.35,95.68,10.67,15.85,8,10,5.76
0,65.37,95.68,8.57,15.85,0.64,16.31,8.02
0,56.28,95.68,8.51,15.85,0.6,18.93,6.2
0,48.17,95.68,8.55,15.85,0.65,18.99,7.97
0,33.56,95.68,8.56,15.85,0.72,11.28,10.18
0,31.3,95.68,8.49,15.85,0.55,10.29,7.44
0,48.12,95.68,8.43,15.85,0.67,1.28,6.3
0,57.11,95.68,8.42,15.85,0.55,14.58,2.6
0,34.72,95.68,7.88,15.85,0.1,13.62,4.87
0,29.22,95.68,7.77,15.85,0.06,13.58,5.08
0,29.79,95.68,7.97,15.85,0.14,15.11,5.34
0,59.95,95.68,8.16,15.85,0.18,11.52,2.79
0,19.2,95.68,9.74,15.85,1.52,11.23,4.61
0,19.52,95.68,17.15,15.85,5.89,11.56,4.4
0,35.16,95.68,16.64,15.85,5.75,14.7,3.67
0,33.03,95.68,17.58,15.85,7.01,12.95,3.53
0,40.95,95.68,17.39,15.85,6.92,19.8,3.38
0,40.29,95.68,17.26,15.85,6.74,8.27,3.57
0,41.16,95.68,17.42,15.85,6.91,13.48,3.69
0,36.12,95.68,17.07,15.85,7.21,13.62,6.08
0,28.51,95.68,27.21,15.85,6.69,5.69,7.65
0,31.59,95.68,27.41,15.85,6.99,9.23,7.9
0,42.56,95.68,27.57,15.85,7.17,6.28,9.86
0,48.12,95.68,27.45,15.85,7.14,6.77,12.78
0,37.09,95.68,27.42,15.85,7.22,8.66,7.94
0,33.4,95.68,27.5,15.85,7.4,9.95,8.39
0,38.64,95.68,27.55,15.85,7.35,9.74,6.28
0,40.49,95.68,27.71,15.85,7.48,8.92,21.51
0,41.37,95.68,27.68,15.85,7.47,11.73,19.8
0,44.56,95.68,27.55,15.85,7.49,11.23,22.77
0,65.68,95.68,27.51,15.85,7.57,8.21,30.21
0,33.34,95.68,27.57,15.85,7.3,6.41,32.95
0,39.17,95.68,27.58,15.85,7.35,9.17,26.64
0,34,95.68,27.51,15.85,7.41,9.64,17.17
0,36.38,95.68,27.45,15.85,7.31,10.65,13.35
0,38.35,95.68,27.57,15.85,7.41,9.33,18.59
0,38.5,95.68,30.02,15.85,12.38,10.37,16.33
0,39.61,95.68,32.15,15.85,17.31,10.76,5.38
0,61.79,95.68,32.06,15.85,17.24,12.39,8.06
0,43.22,95.68,31.99,15.85,17.17,11.68,37.87
0,33.41,95.68,31.98,15.85,17.12,12.96,86.83
0,36.9,95.68,31.93,15.85,17.08,4.73,54.01
0,36.36,95.68,31.9,15.85,17.11,8.86,77.3
0,32.64,95.68,31.85,15.85,17.01,7.05,62.31
0,38.23,95.68,31.96,15.85,17.07,10.9,55.94
0,39.86,95.68,31.81,15.85,16.98,10.02,96.83
0,72.74,95.68,31.88,15.85,17.04,4.23,99.03
0,43.2,95.68,31.91,15.85,17.05,5.96,59.99
0,63.2,95.68,31.85,15.85,17.03,3.69,7.57
0,64.73,95.68,31.83,15.85,17.01,6.45,12.13
0,65.28,95.68,31.89,15.85,17.04,6.13,18.2
0,67.86,95.68,31.84,15.85,16.97,8.87,16.53
0,52.4,95.68,31.78,15.85,16.97,9.89,22.55
0,33.33,95.68,31.84,15.85,16.95,6.88,33.58
0,29.52,95.68,31.82,15.85,16.94,8.56,40.65
0,15.53,95.68,31.85,15.85,17,15.13,34.18
0,57.51,95.68,67.22,15.85,16.31,8.73,15.39
0,50.24,95.68,21.77,15.85,9.46,11.63,13.61
0,61.77,95.68,24.1,15.85,8.68,8.1,18.69
0,46.93,95.68,18.61,15.85,7.14,7.92,19.03
0,43.01,95.68,16.78,15.85,6.82,11.58,20.59
0,42.06,95.68,19.78,15.85,8.43,11.63,28.09
0,44.94,95.68,18.07,15.85,7.14,5.85,59.38
0,29.58,95.68,16.55,15.85,6.61,8.82,42.9
0,32.15,95.68,16.2,15.85,6.5,9.2,39.02
0,36.33,95.68,20.56,15.85,7.68,8.28,43.35
0,24.46,95.68,19.44,15.85,8.45,12.59,44.55
0,48.57,95.68,23.52,15.85,0.89,9.16,30.84
0,27.08,95.68,22.19,15.85,9.95,9.51,12.46
0,59.29,95.68,18.89,15.85,9.21,5.98,7.69
0,65.32,95.68,20.23,15.85,10.61,3.69,4.74
0,47.39,95.68,19.74,15.85,9.26,7.72,7.71
0,43.88,95.68,28.44,15.85,8.69,4.83,11.53
0,28.35,95.68,22.68,15.85,9.05,7.47,15.95
0,3.59,95.68,25.44,15.85,11.26,9.6,20.38
0,3.04,95.68,37.81,15.85,16.31,13.73,30.05
0,19.14,95.68,40.93,15.85,10.33,10.96,29.36
0,69.12,95.68,41.26,15.85,8.85,15.63,28.45
0,76.41,95.68,52.67,15.85,17.96,15.44,31.49
0,102.49,95.68,71.17,15.85,33.31,27.32,24.85
0,127.94,95.68,39.52,15.85,11.14,25.59,15.17
0,87.18,95.68,29.34,15.85,7.83,6.98,23.17
0,99.73,95.68,50.39,15.85,20.16,32.74,20.91
0,84.15,95.68,47.93,15.85,15.83,19.37,23.12
0,92.12,95.68,50.71,15.85,18.21,31.75,29.97
0,94.02,95.68,64.11,15.85,27.14,24.88,23.51
0,150.27,95.68,50.77,15.85,15.9,26.35,31.96
0,118.91,95.68,34.64,15.85,5.42,79.47,24.89
0,91.41,95.68,28.63,15.85,5.19,25.44,6.25
0,95.9,95.68,44.01,15.85,10.38,30.06,27.34
0,137.87,95.68,53.18,15.85,20.2,21.89,17.41
0,90.71,95.68,43.85,15.85,18.12,17.89,26.02
0,108.68,95.68,49.9,15.85,17.03,22.59,19.56
0,98.79,95.68,48.92,15.85,17.72,26.09,30.19
0,145.75,95.68,55.33,15.85,20.61,24.66,95.94
0,179.43,95.68,91.75,15.85,52.33,39.15,112.01
0,170.52,95.68,48.6,15.85,15.49,34.03,53.98
0,203.4,95.68,59.66,15.85,23.03,94.3,5.36
0,92.71,95.68,43.57,15.85,12.92,42.08,72.86
0,64.66,95.68,28.61,15.85,4.79,34.4,24.76
0,78.14,95.68,39.51,15.85,10.58,44.91,35.56
0,100.17,95.68,66.43,15.85,32.27,27.73,23.95
0,147.35,95.68,73.74,15.85,34.64,46.09,26.43
0,206.89,95.68,201,15.85,145.32,20.47,38
0,114.84,95.68,78.39,15.85,38.09,22.94,30.19
0,89.64,95.68,31.18,15.85,5.42,44.92,43.04
0,51.72,95.68,23.04,15.85,1.89,37.31,66.58
0,54.59,95.68,20.64,15.85,2.31,19.08,42.43
0,46.5,95.68,13.32,15.85,1.22,13.73,61.56
0,48.57,95.68,23.52,15.85,0.89,9.16,30.84
0,122.54,95.68,119.62,15.85,75.42,13.78,60.66
0,147.18,95.68,69.93,15.85,33.06,21.24,131.12
0,214.67,95.68,99.57,15.85,57.37,22.18,30.84
0,207.13,95.68,60.37,15.85,28.41,50.33,30.84
0,191.01,95.68,89.72,15.85,39.61,40.78,27.9
0,192.35,95.68,38.43,15.85,9.39,29.18,33.21
0,127.64,95.68,38.64,15.85,6.74,26.94,47.33
0,48.57,95.68,23.52,15.85,0.89,9.16,30.84
0,48.57,95.68,23.52,15.85,0.89,9.16,30.84
0,48.57,95.68,23.52,15.85,0.89,9.16,30.84
0,48.57,95.68,23.52,15.85,0.89,9.16,30.84
0,48.57,95.68,23.52,15.85,0.89,9.16,30.84
0,48.57,95.68,23.52,15.85,0.89,9.16,30.84
0,48.57,95.68,23.52,15.85,0.89,9.16,30.84
0,48.57,95.68,23.52,15.85,0.89,9.16,30.84
0,48.57,95.68,23.52,15.85,0.89,9.16,30.84
0,48.57,95.68,23.52,15.85,0.89,9.16,30.84
0,48.57,95.68,23.52,15.85,0.89,9.16,30.84
0,48.57,95.68,23.52,15.85,0.89,9.16,30.84
0,48.57,95.68,23.52,15.85,0.89,9.16,30.84
0,48.57,95.68,23.52,15.85,0.89,9.16,30.84
0,48.57,95.68,23.52,15.85,0.89,9.16,30.84
0,48.57,95.68,23.52,15.85,0.89,9.16,30.84
0,48.57,95.68,23.52,15.85,0.89,9.16,30.84
0,48.57,95.68,23.52,15.85,0.89,9.16,30.84
0,48.57,95.68,23.52,15.85,0.89,9.16,30.84
0,48.57,95.68,23.52,15.85,0.89,9.16,30.84
0,48.57,95.68,23.52,15.85,0.89,9.16,30.84
0,48.57,95.68,23.52,15.85,0.89,9.16,30.84
0,48.57,95.68,23.52,15.85,0.89,9.16,30.84
0,48.57,95.68,23.52,15.85,0.89,9.16,30.84
0,48.57,95.68,23.52,15.85,0.89,9.16,30.84
0,48.57,95.68,23.52,15.85,0.89,9.16,30.84
0,48.57,95.68,23.52,15.85,0.89,9.16,30.84
0,48.57,95.68,23.52,15.85,0.89,9.16,30.84
0,48.57,95.68,23.52,15.85,0.89,9.16,30.84
0,48.57,95.68,23.52,15.85,0.89,9.16,30.84
0,48.57,95.68,23.52,15.85,0.89,9.16,30.84
0,48.57,95.68,23.52,15.85,0.89,9.16,30.84
0,48.57,95.68,23.52,15.85,0.89,9.16,30.84
0,48.57,95.68,23.52,15.85,0.89,9.16,30.84
0,48.57,95.68,23.52,15.85,0.89,9.16,30.84
0,48.57,95.68,23.52,15.85,0.89,9.16,30.84
0,48.57,95.68,23.52,15.85,0.89,9.16,30.84
0,48.57,95.68,23.52,15.85,0.89,9.16,30.84
0,48.57,95.68,23.52,15.85,0.89,9.16,30.84
0,48.57,95.68,23.52,15.85,0.89,9.16,30.84
0,48.57,95.68,23.52,15.85,0.89,9.16,30.84
0,48.57,95.68,23.52,15.85,0.89,9.16,30.84
0,48.57,95.68,23.52,15.85,0.89,9.16,30.84
0,48.57,95.68,23.52,15.85,0.89,9.16,30.84
0,48.57,95.68,23.52,15.85,0.89,9.16,30.84
0,48.57,95.68,23.52,15.85,0.89,9.16,30.84
0,48.57,95.68,23.52,15.85,0.89,9.16,30.84
0,48.57,95.68,23.52,15.85,0.89,9.16,30.84
0,48.57,95.68,23.52,15.85,0.89,9.16,30.84
0,48.57,95.68,23.52,15.85,0.89,9.16,30.84
0,48.57,95.68,23.52,15.85,0.89,9.16,30.84
0,48.57,95.68,23.52,15.85,0.89,9.16,30.84
0,48.57,95.68,23.52,15.85,0.89,9.16,30.84
0,48.57,95.68,23.52,15.85,0.89,9.16,30.84
0,48.57,95.68,23.52,15.85,0.89,9.16,30.84
0,48.57,95.68,23.52,15.85,0.89,9.16,30.84
0,48.57,95.68,23.52,15.85,0.89,9.16,30.84
0,48.57,95.68,23.52,15.85,0.89,9.16,30.84
0,48.57,95.68,23.52,15.85,0.89,9.16,30.84
0,48.57,95.68,23.52,15.85,0.89,9.16,30.84
0,48.57,95.68,23.52,15.85,0.89,9.16,30.84
0,48.57,95.68,23.52,15.85,0.89,9.16,30.84
0,48.57,95.68,23.52,15.85,0.89,9.16,30.84
0,48.57,95.68,23.52,15.85,0.89,9.16,30.84
0,48.57,95.68,23.52,15.85,0.89,9.16,30.84
0,48.57,95.68,23.52,15.85,0.89,9.16,30.84
0,48.57,95.68,23.52,15.85,0.89,9.16,30.84
0,48.57,95.68,23.52,15.85,0.89,9.16,30.84
0,48.57,95.68,23.52,15.85,0.89,9.16,30.84
